config_id,gap,u,v,direct,formula,absolute_error,minimum_state_branch_margin
delta0.5_K32_radius0.015625_transverse,-0.5,0.7490318996844262,0.7490318996844262,-0.4999035201830594,-0.4999035201830594,0.0,0.3958869135901878
delta0.5_K32_radius0.015625_transverse,-0.5,0.7490318996844262,0.75,-0.49988641042433485,-0.49988641042433485,0.0,0.39454496350320106
delta0.5_K32_radius0.015625_transverse,-0.5,0.7490318996844262,0.7509681003155738,-0.4998693006656103,-0.4998693006656103,0.0,0.3929960975354828
delta0.5_K32_radius0.015625_transverse,-0.5,0.75,0.7490318996844262,-0.49992062994178393,-0.49992062994178393,0.0,0.39588664615788016
delta0.5_K32_radius0.015625_transverse,-0.5,0.75,0.75,-0.4999035201830594,-0.4999035201830594,0.0,0.39588664615788016
delta0.5_K32_radius0.015625_transverse,-0.5,0.75,0.7509681003155738,-0.49988641042433485,-0.49988641042433485,0.0,0.3945449635032013
delta0.5_K32_radius0.015625_transverse,-0.5,0.7509681003155738,0.7490318996844262,-0.4999377397005084,-0.4999377397005085,5.551115123125783e-17,0.3958863787255725
delta0.5_K32_radius0.015625_transverse,-0.5,0.7509681003155738,0.75,-0.4999206299417839,-0.49992062994178393,5.551115123125783e-17,0.3958863787255725
delta0.5_K32_radius0.015625_transverse,-0.5,0.7509681003155738,0.7509681003155738,-0.49990352018305934,-0.4999035201830594,5.551115123125783e-17,0.3958863787255725
delta0.5_K32_radius0.015625_transverse,0.0,0.7490318996844262,0.7490318996844262,0.0,0.0,0.0,0.39979307148986826
delta0.5_K32_radius0.015625_transverse,0.0,0.7490318996844262,0.75,1.7110803042575664e-05,1.7110803042575725e-05,6.098637220230962e-20,0.39845103949508187
delta0.5_K32_radius0.015625_transverse,0.0,0.7490318996844262,0.7509681003155738,3.422160608515133e-05,3.422160608515145e-05,1.2197274440461925e-19,0.39690207899016394
delta0.5_K32_radius0.015625_transverse,0.0,0.75,0.7490318996844262,-1.7110803042575664e-05,-1.7110803042575725e-05,6.098637220230962e-20,0.39845103949508187
